brand,total_reviews,avg_rating,avg_vader,pct_positive,pct_negative,pct_neutral,five_star_rate,avg_price
Apple,14549,3.492,0.336,66.06,24.366,9.575,48.113,245.985
Google,3111,3.463,0.369,68.692,25.587,5.722,46.48,243.912
Huawei,3305,4.074,0.522,77.005,15.28,7.716,62.118,268.187
LG,11346,3.524,0.372,69.39,23.356,7.254,43.645,181.897
Motorola,12870,3.541,0.384,69.728,22.96,7.312,44.81,132.025
Nokia,11505,3.592,0.428,71.708,21.756,6.536,43.633,154.567
OnePlus,562,4.064,0.513,78.114,17.082,4.804,62.811,362.463
Samsung,48033,3.596,0.379,69.05,22.834,8.115,47.661,253.605
Xiaomi,2937,4.219,0.435,68.778,17.365,13.858,64.726,193.861
